Results
Filename spectrum1 spectrum2 spectrum3 spectrum4 spectrum5 spectrum6 spectrum7 spectrum8 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/666.mtx 4:28 6:96 8:570 10:3736 12:25492 14:179414 16:1289567 18:9417639 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/275.mtx 4:24 6:122 8:942 10:6483 12:49922 14:389643 16:3127469 18:25507952 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/914.mtx 4:20 6:69 8:462 10:2670 12:17597 14:113926 16:768951 18:5249085 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/291.mtx 4:17 6:100 8:626 10:3756 12:26616 14:186003 16:1348636 18:9877919 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/817.mtx 4:18 6:111 8:731 10:4594 12:33311 14:243916 16:1832772 18:13969724 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/719.mtx 4:20 6:95 8:542 10:3580 12:24052 14:166028 16:1184604 18:8541113 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/192.mtx 4:25 6:138 8:908 10:6534 12:49850 14:394723 16:3165620 18:25839133 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/539.mtx 4:20 6:147 8:798 10:5754 12:43777 14:334719 16:2628148 18:20956800 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/386.mtx 4:25 6:88 8:624 10:3793 12:27242 14:189815 16:1383254 18:10165816 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/585.mtx 4:28 6:137 8:965 10:7295 12:56423 14:452973 16:3702183 18:30864464 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/803.mtx 4:24 6:128 8:915 10:6382 12:49237 14:383186 16:3071381 18:24962874 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/934.mtx 4:23 6:108 8:737 10:4915 12:36007 14:265557 16:2024304 18:15586978 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/827.mtx 4:19 6:107 8:620 10:4156 12:28537 14:205372 16:1503863 18:11178947 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/867.mtx 4:17 6:115 8:729 10:4816 12:34175 14:253742 16:1913100 18:14653243 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/764.mtx 4:23 6:126 8:944 10:6453 12:49276 14:388010 16:3104418 18:25291584 
