Results
Filename SNR Time(ms) BER% FER%
../gentests/ComparableTest/b5_10_0000_05.mtx 2.9 149.7 0.191228 3.0303 
../gentests/ComparableTest/b5_10_0000_05.mtx 3 175.208 0.136842 2.38095 
../gentests/ComparableTest/b5_10_0000_05.mtx 3.1 203.013 0.108739 1.90566 
../gentests/ComparableTest/b5_10_0000_05.mtx 3.2 247.156 0.0874142 1.44928 
../gentests/ComparableTest/b5_10_0000_05.mtx 3.3 288.642 0.0643541 1.13636 
../gentests/ComparableTest/b5_10_0000_05.mtx 3.4 330.594 0.0557416 0.909091 
../gentests/ComparableTest/b5_10_0000_05.mtx 3.5 408.127 0.0378741 0.653595 
../gentests/ComparableTest/b5_10_0000_05.mtx 3.6 497.964 0.0290486 0.480769 
../gentests/ComparableTest/b5_10_0000_05.mtx 3.7 591.791 0.0198264 0.358423 
../gentests/ComparableTest/b5_10_0000_05.mtx 3.8 766.574 0.0131317 0.248756 
../gentests/ComparableTest/b5_10_0000_05.mtx 3.9 999.03 0.00896231 0.166945 
../gentests/ComparableTest/b5_10_0000_05.mtx 4 1172.53 0.00740491 0.12837 
../gentests/ComparableTest/b5_10_0000_05.mtx 4.1 1226.31 0.00536518 0.114025 
../gentests/ComparableTest/b5_10_0000_05.mtx 4.2 1474.26 0.00435841 0.08726 
../gentests/ComparableTest/b5_10_0000_05.mtx 4.3 1882.76 0.00328867 0.0611995 
../gentests/ComparableTest/b5_10_0000_05.mtx 4.4 2213.92 0.00254784 0.048216 
../gentests/ComparableTest/b5_10_0000_05.mtx 4.5 2755.65 0.00161496 0.0356379 
../gentests/ComparableTest/b5_10_0000_05.mtx 4.6 3837.99 0.00106927 0.023832 
../gentests/ComparableTest/b5_10_0000_05.mtx 4.7 4548.54 0.000799603 0.0185048 
../gentests/ComparableTest/b5_10_0000_05.mtx 4.8 5999.86 0.000722533 0.0130873 
../gentests/ComparableTest/b5_10_0000_05.mtx 4.9 9106.82 0.000376726 0.00810767 
../gentests/ComparableTest/b5_10_0000_05.mtx 5 0.008544 0.000376726 0.00810767 
../gentests/ComparableTest/b5_10_0000_06.mtx 1 47.6935 6.56316 67 
../gentests/ComparableTest/b5_10_0000_06.mtx 1.1 46.6608 5.86842 57.5 
../gentests/ComparableTest/b5_10_0000_06.mtx 1.2 45.6645 5.21316 52.5 
../gentests/ComparableTest/b5_10_0000_06.mtx 1.3 53.7662 4.6386 48.3333 
../gentests/ComparableTest/b5_10_0000_06.mtx 1.4 52.5581 4.12105 44.6667 
../gentests/ComparableTest/b5_10_0000_06.mtx 1.5 51.1359 3.61579 39.6667 
../gentests/ComparableTest/b5_10_0000_06.mtx 1.6 49.9236 3.17193 36.6667 
../gentests/ComparableTest/b5_10_0000_06.mtx 1.7 54.5741 2.53816 30.5 
../gentests/ComparableTest/b5_10_0000_06.mtx 1.8 52.8578 2.20395 26.5 
../gentests/ComparableTest/b5_10_0000_06.mtx 1.9 56.7239 1.71789 21.8 
../gentests/ComparableTest/b5_10_0000_06.mtx 2 60.2873 1.46228 18.8333 
../gentests/ComparableTest/b5_10_0000_06.mtx 2.1 63.3718 1.18647 15.7143 
../gentests/ComparableTest/b5_10_0000_06.mtx 2.2 70.222 1.00329 13.5 
../gentests/ComparableTest/b5_10_0000_06.mtx 2.3 73.1535 0.871345 11.2222 
../gentests/ComparableTest/b5_10_0000_06.mtx 2.4 83.7998 0.682018 8.91667 
../gentests/ComparableTest/b5_10_0000_06.mtx 2.5 92.5303 0.508772 6.73333 
../gentests/ComparableTest/b5_10_0000_06.mtx 2.6 106.348 0.417729 5.63158 
../gentests/ComparableTest/b5_10_0000_06.mtx 2.7 109.523 0.373421 5.3 
../gentests/ComparableTest/b5_10_0000_06.mtx 2.8 126.395 0.279757 3.88462 
../gentests/ComparableTest/b5_10_0000_06.mtx 2.9 132.584 0.23891 3.60714 
../gentests/ComparableTest/b5_10_0000_06.mtx 3 162.971 0.179217 2.61538 
